Guess X,Guess Y,Guess X,Guess Y,Current X,Current Y,Tracker X,Tracker Y,Measured X,Measured Y,Measured X,Measured Y
-479.1228815959499,1996.7768310883894,-476.9585893014063,-0.2577449542212531,-491.40864249402557,-0.0032263848942495673,-494.30262359572185,1000.0017617742836,-480.1132439460175,2000.3366927472532,-480.17798425269154,-0.3340854205314372
-479.1228815959499,1996.7768310883894,-476.9585893014063,-0.2577449542212531,-491.40864249402557,-0.0032263848942495673,-494.30262359572185,1000.0017617742836,-480.1132439460175,2000.3366927472532,-480.17798425269154,-0.3340854205314372
-497.41974561354783,1995.6175644183425,-491.92873134774203,3.952665457273672,-488.5533407772223,-0.00301912832656924,-491.13322967123486,1000.0015695579725,-520.8884680621509,1998.8653457947717,-521.0777054186103,1.143448470721637
-493.15962739744475,1996.7776534570928,-490.09408086288926,2.9038490159310464,-485.06312495958105,-0.0033399226313150844,-487.962559788028,1000.0010349330582,-486.29795654698717,1999.583901796026,-486.4837343624089,0.41787595862842863
-492.54494151181194,1996.0489029693586,-489.95550568383993,2.131806532850258,-482.20737966654684,-0.004261109598912978,-485.1084077636636,1000.0001871092861,-489.7721556013758,1999.359027075633,-489.8728909471871,0.6418223257766158
-492.05147496833536,1996.2199153444242,-489.57692430214985,0.9789435381106953,-478.7172129574363,-0.005702520161100099,-481.6203269065429,999.999192067813,-486.37796716178946,1999.8062982918054,-486.29515082716944,0.1916951874870847
-489.66558519733104,1997.3367923610706,-485.62306790099444,0.9545827733555389,-475.8617050589772,-0.006585376122643983,-478.76698185857066,999.9987912351781,-477.29596489862035,1998.5611072379795,-477.09778046824334,1.4367868516278577
-483.62591177557596,1998.8600205191613,-481.7664535009834,0.3851820763524785,-472.6887436390724,-0.007088075825205196,-475.5963590160698,999.9986625862745,-467.8354978516325,2001.1039937085068,-467.61584260316545,-1.1049416051955632
-478.6294943276264,1999.363646271606,-478.6651198310016,1.2064438377344944,-469.51567594350763,-0.007232353362558151,-472.42516961985933,999.9985813437551,-464.6244815893293,1999.5438598710205,-464.5090039177465,0.454210702573846
-471.9112200294458,2000.403061634574,-472.64567623844215,1.801293925640153,-466.34278483921514,-0.007121826718073263,-469.2541883882706,999.998525392467,-448.77959044592,2000.0343840221647,-448.84001408383494,-0.038568516356917826
-471.5343885948584,2000.155232362352,-472.7785686985551,1.3730589058215026,-463.17001531168154,-0.006983729357062446,-466.0838021362515,999.9984201125258,-470.7037643952059,2001.23250240576,-470.9097601215465,-1.2346904698068784
-469.67477844032544,1999.9047253279255,-470.70777499126103,1.4698668266354051,-459.9971087582044,-0.00730404118536647,-462.9132823942111,999.9978880997987,-461.23239552522483,1999.0577157873247,-461.45238533416097,0.9377145068988284
-467.35681801006734,2000.338285498569,-467.989820021505,1.3057903402504567,-456.82412263951596,-0.008301008110065013,-459.74222234403766,999.996843996525,-458.13068823287045,1999.1679059588837,-458.2116230670892,0.8256547746615297
-461.4747574035136,2001.2154657938138,-461.4314986879685,0.7976854336952842,-453.9685555266009,-0.009425793203145067,-456.8883526305788,999.9959393238817,-436.49210890043526,2000.3247770124717,-436.3839154691058,-0.33068649710298814
-458.96157078167266,2001.2897685934613,-457.9260103727077,1.446869875242144,-450.7957652149414,-0.010377021393972605,-453.7178886449907,999.9954861233291,-445.98850470981574,2000.3384040035196,-445.7178863470506,-0.3453041538164143
-460.0421934687237,2001.6805090121647,-459.29768629562886,1.4106146642240487,-447.30551363823866,-0.010860367247613615,-450.54738539138134,999.9955030348721,-461.70936818895285,2000.726917569184,-461.41559028980134,-0.7391451202241797
-454.6291860015749,2001.5564430626848,-454.1815772549673,1.3769702194841809,-444.44979177716107,-0.010923986106252984,-447.3763854064827,999.9955991636577,-433.3133350425228,1999.5352941356336,-433.14797164242236,0.4582444580074707
-453.1290660217519,2001.508989722471,-452.87916699149207,1.8016566651606953,-441.2769270208753,-0.010740862531441936,-444.205432817778,999.9956855327194,-448.89531626213557,1999.0778407619555,-448.9411712939453,0.9137466081373304
-451.3083890672175,2001.5350230774352,-451.73122414475273,1.1574336865099022,-438.10415625291523,-0.010518423774600872,-441.03500162718535,999.9956951701631,-445.6402341339834,1999.4552546478972,-445.8589477327276,0.5371673953291065
-448.2604328416127,2000.747819977929,-448.745077803652,1.2694254900045583,-434.93126889180434,-0.01070768299523896,-437.8646083673617,999.9952547706988,-436.1763455908257,1997.839066951563,-436.41491122151876,2.1510674763959514
-446.7539385401596,2001.0601964642265,-446.9207137345815,1.0058580595331215,-431.7583329840059,-0.011501934695098207,-434.6937813362369,999.9942495996206,-439.37466152611995,2000.9076179525,-439.4557984630867,-0.9187360188808498
-443.29657566166804,2000.638299280513,-443.3839451730778,0.201405758581515,-428.58551664304997,-0.012519791108053251,-431.5229240748116,999.993271984239,-430.0289814366331,2001.2449991927128,-429.868190771314,-1.2582024018179254
-439.36077060844997,2000.9299203506127,-440.18209068308033,-0.7109801730270664,-425.0954323663077,-0.013299506897429288,-428.35246018822653,999.992940401236,-426.94969189650084,1999.4593346967595,-426.6121673830172,0.5270768191286379
-433.13680551764094,2000.8916673470533,-435.29320645275016,0.9524540164607738,-422.23978511844535,-0.013546003120190704,-425.1820310615873,999.9931600518867,-417.51188924639,1997.7581149138166,-417.1633273800866,2.2309455852521296
-434.28377041284875,2000.8346262202385,-436.5382893923295,1.0772318909844576,-419.0668336258144,-0.01348797160012396,-422.01125546444615,999.9934950158555,-439.41089480665903,2000.3249385497604,-439.21870126859653,-0.3412730397001269
-428.73034726930103,2000.5254303322108,-430.07347510160923,0.8377730057832361,-415.8940206962097,-0.013177761330669977,-418.84046862502265,999.9937823918979,-404.64014755166284,2001.7214331104544,-404.6873539452556,-1.7345364039551896
-426.64259400124274,2000.5137817451348,-427.5431322245946,1.5397905725503935,-413.03852281175153,-0.012891352372345191,-415.9870774811117,999.9939200273509,-420.58760077124316,1998.4303572089993,-420.8060803841145,1.558513444858022
-421.97480159064713,2000.578850356609,-422.1586932955489,2.0048469840310776,-409.54836772755044,-0.012964853159155207,-412.4997191970261,999.9935714985218,-404.52285444387655,1999.2939471588938,-404.76355905685574,0.6913034171686832
-417.9740263469001,2000.141677224912,-418.42589575789816,2.6305854632288925,-406.6927828609953,-0.013474581248505271,-409.64619105990624,999.992785236731,-401.7485480678954,1999.1087367473456,-401.8337186596747,0.8761641144589021
-416.62971362274504,1999.9944606531906,-417.2916852233241,3.503242901264207,-403.5199979811292,-0.014197719786067684,-406.47550907604585,999.9919090791159,-411.2800447997715,1999.9372080258972,-411.1047433352562,0.04578321059602786
-402.63054308803,1998.7426132258965,-404.5920202507658,4.037189707055647,-400.34719554376943,-0.014693260791689717,-403.30504285091047,999.9916568303174,-357.8681097403825,1999.8394766378938,-357.49599475711017,0.16081674925965217
-403.13799628060724,1999.5478089757844,-404.9261311093443,3.4974224484055103,-397.17429314783317,-0.014828751587700043,-400.13467906554985,999.992044020427,-405.05626011832885,2001.6750982451154,-404.6632673132432,-1.692864006763898
-398.9446553272597,1999.0675793977207,-400.51277271953774,3.370654402698617,-394.0014122627693,-0.014645267660125645,-396.9641481679957,999.9926416444316,-382.9385095594164,1999.1066333041708,-382.71038454931494,0.8818784698280524
