Guess X,Guess Y,Current X,Current Y,Tracker X,Tracker Y,Measured X,Measured Y
55.355776682507326,-86.28494790286973,57.59812842408648,0.0012547782951297074,-4942.418928142044,-4999.996695985725,-29.021105274696012,-116.0062217038536
55.355776682507326,-86.28494790286973,57.59812842408648,0.0012547782951297074,-4942.418928142044,-4999.996695985725,-29.021105274696012,-116.0062217038536
34.49714648742683,-18.129101026308454,86.55383808139143,0.0004338112890625112,-4913.483191896379,-4999.997414331213,44.004386795123374,11.142952643697859
-11.864494981506818,-45.74571909029767,115.50997405067602,-0.0014538891151420466,-4884.546300415607,-5000.000772837983,-42.98811677468181,-88.50812716567198
-31.2856686884472,-54.939347651680926,144.46667776407784,-0.005602831323779297,-4855.608318097747,-5000.003694600889,201.4751901207863,43.02519375879459
32.81838600680696,-22.264120601071692,173.71617450528367,-0.008347065143967665,-4826.380460340944,-5000.005840816052,124.25301773357829,44.03500103699275
55.01426864591209,-25.10377554129893,202.67127836628094,-0.01007152955066413,-4797.446194942671,-5000.007677829528,145.90584911448065,230.11837708711363
71.90213156165731,-31.393780851424275,231.91791980222266,-0.011243992810273284,-4768.221379261528,-5000.004789997638,286.22402491571535,39.60056237938909
80.95561464708504,-37.01929901552792,260.8714502144571,-0.007414880671391148,-4739.289401187004,-5000.001267869803,538.6174185944557,-220.1183795750641
89.82479490335291,-40.32051625714612,289.09757911940255,3.6448178568640137,-4712.242647506299,-4994.7358382875955,344.07944266071456,-55.17221990030008
126.87973747396538,41.30405665347097,312.4039999478558,20.831977401761907,-4696.191163212331,-4970.647037303128,124.4711842889025,37.676862190079014
125.8124856716442,52.613259170922234,335.26757685255546,38.43965748164191,-4680.565397036232,-4945.943609072954,312.20453130966035,114.49966335116169
173.90765087834578,-28.499839428204155,355.76602087238547,19.517686813283,-4665.12195971834,-4921.467239411757,257.75547520091425,-69.4744176269613
217.53255141774275,-53.69724938772759,373.3772816562994,-3.4645869302258854,-4649.6848208796255,-4896.987554435452,282.08466009392845,-31.94515212616189
236.55161159773579,-63.004872219263405,391.12586281523284,-26.71097865069963,-4634.07723933705,-4872.271601756218,537.5343247730364,-41.56187986353969
249.8989745103794,-71.51384700824974,408.69828486959165,-49.72441195966577,-4618.621889671929,-4847.80693289073,438.15117566153776,-97.2710211911928
258.821590593792,-75.76089190819538,426.44222845755695,-72.97512710897632,-4603.015044263063,-4823.091791265786,513.9632119914097,-79.66675096215309
267.8374711526487,-78.43503555261593,444.02296641883385,-95.97992045353621,-4587.567449436271,-4798.622702629824,496.98593871249057,6.3683762462215645
410.8466745501817,-99.14005752756053,461.59581950802647,-118.9936295572263,-4572.123946100733,-4774.150997747691,519.5141300457732,-116.72718874078447
442.1384042708511,-114.03242549162415,479.34869648471135,-142.23673535686925,-4556.540042715714,-4749.418916105134,452.0761381806442,-122.8518598892904
450.2570965841185,-112.11713479722707,496.9257026323082,-165.2466991579636,-4541.134034159874,-4724.918365628674,557.490964449808,-381.4136041359643
467.0329010003029,-184.1572237222217,514.5081032201081,-188.25090662557307,-4525.719288536763,-4700.424480244745,480.91285107858016,-206.88909961956787
436.43908992386804,-171.34250291594682,532.0949699272476,-211.25232521215005,-4510.297002122384,-4675.938956722613,396.2657874216476,-68.51785532418822
457.7972459303628,-178.88288908919387,549.8483868837025,-234.49739863532932,-4494.718091305613,-4651.206909390459,488.2887879045285,-418.51396582701574
470.5339975089248,-183.6341603687905,567.4451030438214,-257.49030982797547,-4479.30486865153,-4626.715736158911,485.1506055000735,-460.7548090632107
477.8704201264118,-191.03802943613167,585.042616108723,-280.4834680006248,-4463.9016022281485,-4602.218537168343,701.0304256458891,-569.9446459594418
574.6112203724626,-264.77491509728696,611.3530171642368,-288.6622278361618,-4448.3576958300555,-4577.463189987646,584.7736388681319,-266.08980333919754
508.5390763407115,-292.92586538365276,640.2929038773831,-289.58392959366626,-4433.003800033154,-4552.930735760097,478.7852942716063,-221.14947994611776
489.6690603705009,-300.8884881809536,669.5267698462975,-290.43108617675756,-4417.511763178305,-4528.139216919999,714.9091531521833,-208.54352771647697
476.4296195902038,-308.16402062404603,698.4694411272058,-291.2683869355239,-4396.050636184527,-4512.64559941102,847.222128420407,-342.5624303598768
466.2511332439308,-315.4414731595336,727.4148188646355,-292.1077763465975,-4367.138445921077,-4511.438533926504,789.0196860239856,-429.602099708942
460.07069854826017,-316.6801527436749,756.3613104415442,-292.9509277018727,-4338.215664277148,-4510.520180320646,784.2738543358221,-147.9804454372579
453.53872219382026,-317.9574349157498,785.6025702795516,-293.80101602104565,-4308.9996947814925,-4509.601614460966,903.2972384150572,-352.91165780919977
923.8786588359922,-392.61381800903115,814.5485589741958,-294.6406657653507,-4280.074284874401,-4508.6923741468045,926.5991911893144,-393.70471271376726
868.73249087415,-359.5602099168375,843.492772547193,-295.4770244900697,-4251.151757657279,-4507.78319671872,867.3026711272811,-354.4970786318533
877.334314881754,-355.98843334627054,873.0197322574701,-296.3266834659623,-4221.6460263607305,-4506.856188166381,759.8572039624461,-191.7677850661973
894.7722610726807,-305.0020403570377,901.9616503735206,-297.1619225821175,-4192.726826459741,-4505.946493510303,902.3115614505658,-296.6951975725167
908.865506932451,-338.58576098406746,930.9052215091433,-297.99928232213495,-4163.808542576637,-4505.039718636917,916.9566591161997,-407.068727383391
921.8923020831675,-356.59108018216654,959.8512839438039,-298.8381571505371,-4134.8901376022095,-4504.137307238807,829.5522401522068,-188.18851164262676
