Guess X,Guess Y,Current X,Current Y,Tracker X,Tracker Y,Measured X,Measured Y
224.96831854679465,44.552357840070684,6.860425428502144,-0.08184069222739955,-4990.882411621239,-5000.081645451565,225.52977579205955,45.7598772372183
224.96831854679465,44.552357840070684,6.860425428502144,-0.08184069222739955,-4990.882411621239,-5000.081645451565,225.52977579205955,45.7598772372183
175.36583971063178,44.9290855790954,18.617097640434594,-0.07907710846175024,-4975.80489977156,-5000.076182024181,-17.511795968436495,50.10912485008662
159.1030523195008,66.58496089706061,30.252363161849395,-0.07582365978977433,-4960.882228742981,-5000.069013879837,110.72450229974692,124.35405729075869
125.67734885612354,57.02752246719001,41.88897347791718,-0.07260167759725603,-4945.956846175178,-5000.063883793778,-98.10659986982618,-28.704741175505372
132.75304470462228,16.654745434821862,53.64269920997683,-0.07150554906055787,-4930.880884485689,-5000.061367187868,174.99576667103577,-76.13546438623179
123.1539777320729,33.924260233935925,65.39647286026164,-0.07234133088496289,-4915.803801583182,-5000.0612913493605,122.33803880539084,91.04090053990409
120.58652948752247,10.550933764358653,77.0352476088424,-0.07328281714909726,-4900.879159939064,-5000.061655507748,105.67210050651094,-50.52984219713525
106.43734350403756,9.535441137608785,88.67665091960251,-0.07272142426425217,-4885.954850707787,-5000.061974445848,67.50471069829005,7.473811830137454
125.58778291103967,9.642849458250149,100.43208334648124,-0.06722630893141061,-4870.880455672912,-5000.058797294132,197.75043646706845,33.56435741990808
157.13723384065753,-24.332342829615282,111.95050037726995,-0.06071202952604767,-4856.1077105424165,-5000.053058270847,245.66363231925484,-123.76218786780333
159.6070729150621,-28.289864006606763,123.82515011131102,-0.055657198466144954,-4840.883049589006,-5000.046551436453,154.07086549814827,-21.429434674018434
132.2078347900614,-46.600287212581485,135.46411921449513,-0.05431743157959303,-4825.954638707909,-5000.043727139413,42.60672048557457,-80.99013179577858
162.4643999079726,-39.18202310880972,147.10265257179518,-0.05506088200176088,-4811.0264947082715,-5000.0411593205745,246.45519271978904,-13.960004068336383
144.34302127738465,-69.72759915616707,158.6218532714779,-0.05439026435304385,-4796.248116473187,-5000.03729345759,105.63300940712396,-156.13154529295224
144.13953803542825,-54.99582415987558,170.49400921484968,-0.052707084640593795,-4781.022542980366,-5000.030042888338,139.33588306958407,11.975818355165913
128.93922229098754,-8.30541254578916,182.12984252853886,-0.047804526152041504,-4766.099441388016,-5000.02389913452,88.7811659199282,122.7188902073347
134.88758224978312,-5.900786075894957,193.8834542429001,-0.04300746323186279,-4751.024454301808,-5000.018651768861,153.69062603747076,-15.068615970934994
188.96017225137297,-65.558584611655,205.64161353367987,-0.03986722626760636,-4735.949579363394,-5000.016067615011,338.4795053181176,-239.41266764882468
187.74457122062478,-49.76069990482546,217.28227161790568,-0.03754685356642596,-4721.025023562178,-5000.012829013452,137.27503536289316,16.26619054962946
217.44323265833356,-27.54983772366114,228.92330536784144,-0.03404001017899959,-4709.988260160377,-4990.333319969462,294.8518738757411,45.78308773134984
251.3926924957024,-27.49790275183259,240.67702190472616,-0.027259483726844773,-4701.880176210434,-4977.621914835711,372.834037067384,-40.97896220816756
263.67508112742246,-17.3496122626901,252.31282665054965,-0.02159927018217924,-4693.902552650907,-4965.006692837333,288.7681608599947,16.265689425727302
258.91907288890525,-16.179121604213673,264.06753331309466,-0.017289256234971215,-4685.846058690629,-4952.26140715272,213.68834199593957,-21.76543987049126
233.07555291044423,27.991580070663183,275.70420889259776,-0.01526472945033417,-4677.871758289281,-4939.641938687992,152.47357463992972,133.93913760677867
254.64296102648362,18.96157498206934,286.7958285461788,-3.4328107532831216,-4669.90186009223,-4927.019364867412,317.98359569133316,-27.31228293545653
225.2942076179837,40.47397052898256,295.42320649639186,-11.41855145186298,-4661.853905582849,-4914.2689240437785,145.00594455194863,80.33758538109483
289.47731680701827,45.79758029353014,303.8703972127444,-19.422949436660847,-4653.8865118765525,-4901.646137638913,487.60354378610316,50.33191886752577
279.80917493867594,-0.42231353050444725,312.3927823758573,-27.521143553166585,-4645.836556951244,-4888.895812688873,231.18543024257107,-110.09628174352025
286.61393123128454,-33.2912945675192,320.82901313307576,-35.53549751397538,-4637.867615254146,-4876.2728378704105,316.77253359168714,-101.54802007379108
320.5141542579054,-53.587378381129795,329.35505256504246,-43.626363866684,-4629.819269266827,-4863.522266253746,455.16218904188844,-101.3177333305179
318.5949472532526,-70.1628021939401,337.80104228761786,-51.62967939005811,-4621.8495401630125,-4850.902161289867,285.62924730459076,-115.8865893278805
319.91747870828164,-67.79174039197723,346.23783368239447,-59.6496366129644,-4613.875753908901,-4838.284420539604,313.7243318477657,-39.92444157452213
346.3836746839364,-47.85394383958002,354.75548822274953,-67.7511107498283,-4605.818242476215,-4825.541050298071,414.88750644520013,14.264492767211335
348.8967590263539,-24.976043519896717,363.20111681305144,-75.75449600588689,-4597.8409859716185,-4812.925972708785,339.31873468669613,35.21843147277622
346.2135940907166,-19.266711102167267,371.73219849494876,-83.83834902507364,-4589.781123307039,-4800.185807563132,330.1139278675431,-12.960669288841935
351.4813012204185,7.173233002984405,380.1720170389988,-91.85255003405787,-4581.798858986661,-4787.575631063309,366.8397944481234,81.3956740754604
431.17100567818517,-28.541358822778157,388.69141195456933,-99.95475205649973,-4573.733598595396,-4774.839301952677,665.0081730169944,-137.93589157962202
447.5951822010903,-68.1889806604871,397.137396847492,-107.9575931305607,-4565.749419779173,-4762.230246219299,500.9541174263314,-183.61273142083147
