Guess X,Guess Y,Guess X,Guess Y,Current X,Current Y,Tracker X,Tracker Y,Measured X,Measured Y,Measured X,Measured Y
-670.9082179911219,1820.5173178794753,-663.9480133690773,163.73507243796035,-491.500585725656,0.0017680433447071864,-494.51973832266503,1000.0002619535434,-672.7788859337522,1835.87004132719,-673.5022640358463,164.28507885196166
-670.9082179911219,1820.5173178794753,-663.9480133690773,163.73507243796035,-491.500585725656,0.0017680433447071864,-494.51973832266503,1000.0002619535434,-672.7788859337522,1835.87004132719,-673.5022640358463,164.28507885196166
-598.9894734524181,1920.3644177317883,-630.1061717198785,108.95292407132082,-487.376266150862,0.0018672247741024059,-491.34964171456755,1000.000653973781,-584.0722412982868,1976.7903539910894,-584.5439787926358,23.25584898629336
-593.539730298928,1941.6217450757465,-565.885506389782,60.382854057098754,-485.1552727345889,0.0017137140304089825,-488.18007080462854,1000.0006577551536,-522.1390855603036,2098.2289033098004,-522.0963098508049,-98.22890966059265
-512.286325941017,1912.3548620667727,-543.9814656723852,51.69072921066958,-482.29954083085124,0.001471191747246961,-485.00973147267706,1000.0005239429663,-274.44202863329133,2018.0616336247726,-274.3271003203264,-18.03680811137906
-538.2407132595861,1925.0499882734216,-546.8311141007916,54.30296387808611,-478.8093172587639,0.0012680778986647755,-481.83922174817263,1000.000835921384,-595.4933990749388,1896.8151704925353,-595.2326231731487,103.15349148120833
-495.0271871961889,1911.4645551025014,-523.5499361732857,49.24759915480299,-475.95381358163473,0.0013755882629120173,-478.6688137697918,1000.0016890015834,-311.9316050926144,2040.3328979153596,-311.66816663723,-40.28726357590199
-490.41164328530147,1913.8734304984662,-513.9802066427372,49.33199930337168,-472.7809224636934,0.001976618790679178,-475.8155149340493,1000.002635521936,-439.7509995556711,1974.2335264810467,-439.6766352429267,25.774500256314354
-516.4429503685684,1929.4193311712688,-523.39157608932,50.87276644718464,-469.92513272364147,0.0027893141654474498,-472.64519988174715,1000.0034575062296,-609.1023859548861,1918.577415637903,-609.2565215921247,81.45240994859262
-506.8987031541142,1941.1247590659457,-511.9342577831809,44.77561650453065,-466.7520808216946,0.0034590333378703136,-469.7918992950307,1000.0037958300874,-417.7756923210938,2021.4327671248823,-418.1027452242313,-21.441778118786033
