Guess X,Guess Y,Current X,Current Y,Tracker X,Tracker Y,Measured X,Measured Y
159.09688731308302,-89.1363531649962,14.702474784168075,-0.016258680907726582,-4986.17602964117,-5000.010203800811,157.05923769233846,-89.47466237201166
159.09688731308302,-89.1363531649962,14.702474784168075,-0.016258680907726582,-4986.17602964117,-5000.010203800811,157.05923769233846,-89.47466237201166
160.77347666302,-92.93703648488906,43.948665400426464,-0.011108736620743326,-4956.95042908512,-5000.0069157818,-96.6094817404272,41.87968311948421
228.63580331658704,-19.422264962765766,72.90369312820823,-0.00883473203756903,-4928.014825858098,-5000.0054045063225,284.55442566297785,1.9978755977186342
242.78361725471456,3.8875128372561183,101.86150814871134,-0.007956651387394558,-4899.077137587536,-5000.005136021871,110.51917220467536,116.01488259983792
256.0971262783827,25.869978223921102,131.1126416571245,-0.008470879169848169,-4869.846434305005,-5000.007295874414,155.49611811414107,-133.1601770326665
163.54708848782641,7.526846647738324,160.07172222502754,-0.01062468051413639,-4840.9065858631375,-5000.008198363642,128.2295904432032,5.946095147860599
155.206504329964,2.454773964805217,189.0308158681226,-0.010763903637813203,-4811.970299387657,-5000.007737856044,160.24708872095883,-0.2930537100156505
117.41870531549395,32.8833391156745,218.2794251777551,-0.00936572128134024,-4782.743298400714,-5000.006048737553,331.51648737314656,43.89520750537271
96.13082215625795,44.31053034183708,246.94150818034652,-0.007170174806106096,-4754.102829996923,-5000.000711138567,292.14677224266217,-128.65406512158881
148.50436962019023,128.85203655450866,276.18751770862065,-0.001296775446004233,-4724.878194061088,-4999.997507762898,164.6803883916693,131.8698376390642
149.12121409666426,155.19678106165202,301.5889202352543,12.493397144248382,-4704.106110488336,-4982.7139092488405,227.3207654073599,-65.10543393376327
207.85200035397406,223.6300100216588,324.51199710017863,30.18122610038511,-4688.565458116105,-4958.3031395730595,220.19666694672006,230.29335787237184
226.20488413695784,244.38965761081582,347.27252720054156,30.31270306170116,-4672.95135590422,-4933.590965422424,581.5645999300134,65.7035806528659
243.06051946512346,264.2631274149839,365.1042566779941,7.497373726218237,-4657.495077558827,-4909.123592148419,277.40640466341233,-104.70839274939442
256.60556652374316,281.62872353194774,382.84951628443605,-15.750705458621718,-4641.88076152834,-4884.412315940986,376.9278648606724,29.791370457096846
376.5897528528525,159.5731463087962,400.4224525526676,-38.76184086584612,-4626.41878230463,-4859.950343779671,394.7379753933922,84.06927282216743
320.80978560125106,119.7634861517494,417.98142993586464,-61.788011594743914,-4610.966832034571,-4835.482245612594,239.49633203621295,92.8828983802797
345.87717979907575,111.18406592422592,435.72889256574206,-85.03410544060719,-4595.357762824559,-4810.7686399216855,304.31483142459774,-269.8090875425048
368.61156600248285,101.46230164821766,453.3013687627591,-108.04596239805312,-4579.906471107379,-4786.30217891743,459.3738413008929,-170.5813691612446
335.42197967599105,-11.840541096694041,470.86841895896936,-131.06336942939956,-4564.469763441407,-4761.824204578589,315.86635868621397,-37.427481453610895
399.415499889525,-30.148627958581795,488.4442298044318,-154.07478096343934,-4549.043686756154,-4737.336522660446,453.7531451904063,-44.128184033831374
457.43998714857236,-67.22940005605726,506.18914222171566,-177.32397660519646,-4533.467830768383,-4712.598907739419,516.5688659858888,-111.83576692399892
530.5693054034597,-67.28327686241722,523.7734993445133,-200.3259980681914,-4517.878117254684,-4687.872567012737,614.8899475452596,-120.40563487964238
556.1018529589429,-76.43816955474101,541.3490195193075,-223.33739210304114,-4502.603248379776,-4663.639583451707,544.6343260376227,-277.092123103615
560.4519617676555,-167.02045334905756,559.1087204343714,-246.5760561830605,-4487.024086870584,-4638.907107696323,568.6887410763685,-173.32062880230768
509.54955461629055,-242.38627780373074,576.6966722411652,-269.57691660037807,-4471.6094591498995,-4614.417505005761,519.1640066160326,-303.6846887291136
523.4373185106413,-302.61352394414854,597.6387748005919,-287.7698288403399,-4456.055172717393,-4589.669132900993,540.4303336088907,-330.44378405709085
525.8482040685011,-328.35808025752004,626.5640013422795,-289.18360715509067,-4440.680621874263,-4565.14980084914,743.4398180656859,-148.84502342789855
528.7938918673301,-354.18955405880376,655.5051592336036,-290.0317851078553,-4425.33192260771,-4540.612917444737,577.3264204354416,-154.3690024654919
530.9069949970072,-377.2645797219268,684.7387680729873,-290.87952862676826,-4409.957958776365,-4516.137366310831,985.758085611568,-221.94785378297664
704.7763468190639,-378.3701009269694,713.6811756328976,-291.7187699157034,-4381.649966060772,-4511.790047923824,783.8995776393746,-319.3020048630711
732.800993001559,-384.2382342590534,742.6253190131097,-292.5597432352393,-4352.730395120693,-4510.848305252184,797.3498140625039,-539.261177213247
759.2116466115177,-388.5292089928926,771.8626195616706,-293.41149285455754,-4323.516357043212,-4509.939706956046,975.4962502530917,-378.8578812122307
783.2277512465735,-394.04151609951083,800.8089152961452,-294.2516278171689,-4294.594127815821,-4509.043641658519,958.148810416164,-286.24889302170243
858.6453072983585,-284.52491670464707,830.0455042471218,-295.09780188066463,-4265.378668007533,-4508.137505896815,860.6693380334164,-204.32594613908887
819.744673671347,-216.633402364071,858.9882567172668,-295.93241564863325,-4236.457694568715,-4507.240109977405,778.8435697647776,-169.34770894972857
823.6559569309346,-188.91797573212355,887.9298921767113,-296.76505553817657,-4207.537615167604,-4506.343051371542,1005.563246451797,-330.5047467225696
827.2111923120149,-164.01527480022273,917.163821494192,-297.60929849366704,-4178.326679981934,-4505.436828726136,1016.5960713369118,-221.78868738432863
830.9176371212707,-140.60179673588755,946.1072106310354,-298.44641478406936,-4149.408539208008,-4504.543309455227,1019.1793475423907,-534.3120886234935
