Guess X,Guess Y,Guess X,Guess Y,Current X,Current Y,Tracker X,Tracker Y,Measured X,Measured Y,Measured X,Measured Y
-559.711045822285,2165.175899987962,0.0,0.0,-473.53608052316446,0.0812299326233671,-471.6405200625199,1000.0018989370026,-546.5568838005039,2144.9256681176003,-546.3295016440732,-144.93672597733735
-559.711045822285,2165.175899987962,0.0,0.0,-473.53608052316446,0.0812299326233671,-471.6405200625199,1000.0018989370026,-546.5568838005039,2144.9256681176003,-546.3295016440732,-144.93672597733735
-561.1891051431166,2169.9625165496595,0.0,0.0,-463.8845353997685,0.11790886526044132,-461.9964320609785,1000.0035111537267,-399.6891478099234,1734.5609622210986,-399.9016432665704,265.4280665641909
-562.3402728125589,2174.4640266829183,0.0,0.0,-454.2321176488315,0.12613925179511912,-452.3523993412047,1000.0028675638303,-406.784659862145,1893.454959824296,-406.5634096543996,106.56208694695204
-431.4906839527699,2188.0432232890316,0.0,0.0,-444.5798954626683,0.12856682809170458,-442.7083753677595,1000.0050807552093,-251.15404313743568,2246.784507889483,-251.4902982975867,-246.82596197795056
-425.96055267472724,2191.4236200242535,0.0,0.0,-434.92690241251853,0.12694141346221813,-433.0640863436221,1000.0040087891912,-129.77072713623255,1853.9479857161825,-129.68021563185846,146.09218403142586
-421.97964873818603,2195.317711821599,0.0,0.0,-425.2743984823282,0.1258897078285931,-423.4198414413542,1000.0054211790003,-595.3053336348561,1682.511182023456,-595.3649412629525,317.51467497081023
-457.61150874980837,2225.1564083969915,0.0,0.0,-415.32906512151715,0.12331714307349002,-413.48322201189336,1000.0045432055397,-508.0254768826651,2237.1795996513993,-508.14609220761827,-237.1612901628787
-396.5960230053378,2234.4036915416073,0.0,0.0,-405.9685109493163,0.1213790314839269,-404.1307191720519,1000.0042855504053,-233.694216405033,2222.0310784437424,-233.54443897994702,-222.00160847582606
-392.47324850847633,2238.662685215916,0.0,0.0,-396.0229107075228,0.11855987467769712,-394.1937264628616,1000.0041319632456,-1210.536299765854,1579.4153408366028,-1210.6799492420423,420.79536651953913
-389.8951399581172,2239.2680068362533,0.0,0.0,-386.6611945067169,0.11636960791263654,-384.840226703581,1000.0025502810515,-369.6751914696765,1874.159784037626,-369.50161981263585,125.84834491380798
-386.67610341917435,2241.6659735307026,0.0,0.0,-376.7154071851493,0.11320073284171235,-374.90264605053585,1000.0027505200239,-244.58612530015205,1868.101636474991,-244.79157678435868,131.87304763505063
-382.28621201569,2242.1772749271004,0.0,0.0,-367.0615762052864,0.11101317458363284,-365.25670133063744,1000.0005414688171,-325.2419026467146,1699.0796617242454,-325.14350482659756,300.92706038328276
-380.6758099178801,2243.92382227179,0.0,0.0,-357.4088185496095,0.10807137840916406,-355.6112033460182,1000.0002708701235,-730.5278784948089,1943.9131126925224,-730.6221169995983,56.124865478835545
-721.5598882542656,2007.2132060071256,-695.2909862869078,0.0,-347.75601950808186,0.10584827668225492,-345.9655745637715,999.9982663490508,-727.27262946695,2048.0170288355084,-727.2111692595066,-48.04285553867214
-721.0634478221042,2006.56863198534,-699.9426552125444,-0.08666875600007955,-338.1031877874845,0.10383021282282115,-336.3193305878123,999.9974434117844,-324.8898735297298,2324.895239463879,-324.84247495269733,-324.89994290048094
-533.9471031054032,2000.167996146311,-544.6813993358459,6.81548515766747,-328.4506987387584,0.10104397397855694,-326.6733471370967,999.9961623967419,-545.831887394673,1985.3463803078926,-545.7857777159102,14.635690046024706
-540.0520762629172,1994.3073898516423,-547.118442022024,11.231155834252931,-318.5053605018445,0.10011846552227262,-317.0264396430876,999.9953955563249,-328.5395795249145,1755.2874969290542,-328.47049528473167,244.7022442723727
-501.5338345606655,1995.6179211865442,-493.6566387995422,-22.838401345810013,-309.1459122265312,0.09703486747949051,-307.38059675609935,999.9946670913243,-372.9790496090537,2169.883148467522,-372.8684049369605,-169.90001314834285
-530.8150969739381,2004.981845525791,-493.8031816428927,-31.146623788450007,-298.908947976472,0.09703232442959035,-297.44217075167523,999.9944710824857,-148.34454704584007,2232.174839138972,-148.20415401128122,-232.16890086862782
-715.528647817581,1827.755105596324,-488.4077695928157,-171.0980345743131,-258.54889537860964,0.09273137619461369,-288.0892033659776,999.9942711052058,182.92125973317377,1827.1186696340092,183.0094331486203,172.92008962896227
-618.215319158483,1226.3379614712323,-460.45518212130304,-290.36730093487813,-226.08539996344086,0.09026801348434375,-288.0892033659776,999.9942711052058,472.08782240836297,1274.3105394205243,472.1170617388341,725.7590434757913
-254.3449925685106,899.0740074310824,-472.05529687306984,-402.536490548235,-198.0070065808395,0.08669636642712021,-224.37470166421696,1000.0004281930479,-975.139015852676,1172.0357651539548,-975.1728159897966,828.1126620569039
0.0,0.0,-340.1078912000002,-270.5333806328786,-170.80479552398222,0.08240046000389503,-224.37470166421696,1000.0004281930479,-360.24607189919,2259.6918810552943,-360.49366964241875,-259.66429395339526
0.0,0.0,-341.62044142501185,-269.2119481476527,-170.51227578098005,0.08236813001562698,-178.10391069547052,971.5842342223904,581.1802396534429,1093.1388787399446,-96.21762334890524,207.004226296826
0.0,0.0,-341.58222637547556,-268.93963493939526,-170.21974862252478,0.08233485462443205,-178.10391069547052,971.5842342223904,828.1255173234771,1111.9184305970705,-49.55805332366634,-36.218976248787726
0.0,0.0,-345.45779299311187,-262.94899367236036,-160.56707738836292,0.07999070336696028,-170.21810702447635,965.5337647703894,750.9764669990967,1218.952399946953,-173.10385251950356,10.121748759410934
