Guess X,Guess Y,Current X,Current Y,Tracker X,Tracker Y,Measured X,Measured Y
88.76349929237735,35.04062503031697,39.2108616504824,-0.0011305554899124542,-4961.114927415383,-5000.000555826736,90.31568139324519,32.81456459819711
88.76349929237735,35.04062503031697,39.2108616504824,-0.0011305554899124542,-4961.114927415383,-5000.000555826736,90.31568139324519,32.81456459819711
36.85963226179614,52.70287964828128,67.87524783121947,-0.001709478199837441,-4932.472450161698,-4999.999299421747,-9.063515409551629,67.96424933376686
95.23843995780774,-3.2970051306786448,97.12293497895368,0.00013768732781073675,-4903.247263065286,-4999.995444679044,155.19645509919306,-81.0140478533691
106.49286773227901,-67.954207204219,126.07675677560223,0.004558107903385601,-4874.314809378792,-4999.993756403386,107.42152930154838,-166.9256253629299
122.92162307711338,-38.77369461730409,155.32351618781385,0.006213049828882401,-4845.088894641177,-4999.993596315189,116.5646612877385,54.190349123124264
196.96555247924786,-40.26100892755385,184.27998840625108,0.005961098519182165,-4816.153071205489,-4999.994071691695,317.77657837506496,-69.05857180563258
225.77368433596428,-80.01714905724324,213.53092502077885,0.004601566739723113,-4786.923347780648,-4999.9982166064365,303.63022868050854,-171.7410668460388
241.90999297136545,28.222297701061482,242.49075355855288,0.0005959412547232152,-4757.983059624328,-5000.0015865977475,190.8056241493175,238.77533116920733
289.7441613403595,9.836368430585013,271.45220675850436,-0.0017817437616396779,-4728.753039321172,-5000.002481347906,375.5869951455955,-46.6844353096759
295.7413826311317,-51.96759230208415,296.7446884743045,-11.226060199900495,-4706.425767683856,-4986.13862151761,254.00744861711317,-122.52565829736385
246.2207113436489,-65.6920943638129,317.79917468324857,-31.102428908039716,-4690.84052942341,-4961.7513374170385,136.1556154943877,-61.90413676911467
381.8822663289604,-50.857639157661964,338.9677961715672,-51.28323086219141,-4675.221379328821,-4937.042533661499,542.2012179755291,42.68669166428742
408.70058468324555,-45.69838931051963,359.91961189791414,-71.26881633952654,-4659.749146275026,-4912.58778615336,415.19150162277845,-9.103562830226801
461.1497569700448,-113.8847267878893,381.09047881654766,-91.44912819878002,-4644.1254486928665,-4887.883410750257,600.0137434317606,-262.7921438399464
492.7568006736152,-150.681525918067,402.03810660656393,-111.44153488519188,-4628.6599632278085,-4863.425175750263,588.3582690246257,-221.86210855878068
503.86254912006234,-157.9856993029722,422.9993420324956,-131.41490844759943,-4613.1968742417,-4838.966096910594,481.1733863494319,-138.7140982953044
494.05791709110014,-173.64851344016617,444.1734405672536,-151.5895425099272,-4597.592114575099,-4814.248583123372,456.9537691165586,-171.0922294617977
416.4256002084136,-128.6322258825463,465.1274927989495,-171.57503387349263,-4582.156552610135,-4789.766438499915,361.3279814812207,-61.09819282134027
402.2007278067007,-140.51863791830968,486.0922098749062,-191.54624723573951,-4566.730686797417,-4765.27907332175,416.9212327915333,-160.77106645814968
460.7273734503237,-231.8184797352564,507.2591719225854,-211.73211556780458,-4551.13169692286,-4740.5584305774,546.6282972566652,-312.79605094676185
463.297383945216,-274.58391076311824,528.2269976763678,-231.69876213706155,-4535.68488031778,-4716.088930263107,465.92090413432487,-348.09367520802255
490.65669882329775,-216.42064946701743,549.4102522714726,-251.86315251714316,-4520.088392503202,-4691.36759132021,500.2614624340275,-83.72774625847914
507.48881173713954,-264.1035241909396,570.375395515145,-271.8386287084003,-4504.654526319953,-4666.889773024125,515.7086622922862,-350.86163763910906
535.2809371400284,-244.6289455684003,593.0230295026726,-289.06404234013576,-4489.075387981129,-4642.157065892622,541.5516196326179,-212.06360149035424
572.7387141939004,-264.88538984514605,621.9518840450314,-290.56658454671344,-4473.6702054995185,-4617.657411311958,609.2882285828618,-298.23648997243424
615.131278006221,-299.6165738743046,650.9011992838546,-291.30562631910897,-4458.289345838182,-4593.140693717498,675.6353718010927,-356.286203871603
654.5140374317658,-244.51823683956655,680.1433376195663,-292.0377761630305,-4442.7507408136735,-4568.380922572357,698.0713675905502,-141.81548845561574
665.9803477808672,-267.5950940697083,709.0922490913953,-292.7637363191444,-4427.365560239084,-4543.872639320557,637.6087478009389,-320.801169002299
