Guess X,Guess Y,Guess X,Guess Y,Current X,Current Y,Tracker X,Tracker Y,Measured X,Measured Y,Measured X,Measured Y
-235.20874374766967,2114.797011217184,-294.6326564119764,-150.14472112970844,-471.5095764274724,0.0017164226767215902,-474.74425504598025,999.9653408161581,-486.6580964091148,2151.6184830496527,-486.1848260637828,-151.69260013987662
-235.20874374766967,2114.797011217184,-294.6326564119764,-150.14472112970844,-471.5095764274724,0.0017164226767215902,-474.74425504598025,999.9653408161581,-486.6580964091148,2151.6184830496527,-486.1848260637828,-151.69260013987662
-307.8630265381635,1998.3939242029858,-294.0678281853817,-31.943885216612966,-461.5655360721261,0.0034850987420836283,-465.1001627890707,999.9657778129282,-700.984833625786,1803.554785165537,-700.9645061030972,196.37080381997214
-330.9088767889807,1990.8972813471728,-312.01193431811885,-19.054461596493415,-452.4980461420434,0.002965550619478115,-455.7483581341379,999.966183883505,-561.6779572197635,1913.013664446198,-561.1799077259566,86.86105845982706
-355.26270335350154,1994.51114079269,-342.59268172270174,-18.166648033272782,-442.5534494725674,0.0043467404619750806,-446.1043226288047,999.9695512102367,-616.8739797370547,2028.7366216830762,-616.8917428156319,-28.794570531995078
-365.14354781872066,1983.7265177422007,-356.9959355725726,13.471184306779442,-433.1934099747771,0.003642532935084317,-436.45990806136956,999.9698069595189,-450.6078611701302,1893.346559089673,-450.2006324532461,106.58669859168242
-384.74090316350595,2030.8797433417626,-375.2545981391501,-66.02970838369521,-423.2483788510173,0.0038778141374597413,-426.5233324030195,999.9729775252578,-457.3148038940498,2286.6273997316675,-457.1787874590234,-286.68469255455136
-413.00576870254156,2058.0415251396125,-391.16794069423855,-93.00984204646055,-413.88830407899513,0.0032104796225419455,-416.8787762752995,999.9731648028592,-618.87250878332,2209.910308290103,-618.5514051805391,-210.01754173708878
-417.7494006730893,2040.3221366080522,-392.1062110713744,-70.02993866192153,-403.9421869421965,0.0026577165147547424,-407.2340112693935,999.9747654527588,-400.1969643628868,1905.1252288581222,-399.9066520809807,94.82660562508056
-412.4144458257829,2027.8375219765685,-388.75963527283494,-46.703931219481774,-393.99646057830284,0.0017497265724063344,-397.58920990658476,999.9755133722374,-359.48022753470013,1960.4113454389012,-359.38980509922493,39.54327342640511
-397.5616569795091,2051.486151795113,-381.7820285882072,-68.47906861221448,-384.6346847142074,0.0009855609637818552,-387.94339056814397,999.9756428146953,-326.36670490062596,2133.682624707749,-325.85416821402526,-133.70338472277865
-376.41124166494006,2086.514055916896,-365.2106506573765,-105.6358537577839,-374.68900202254514,-0.0002197834076243342,-378.297895387774,999.9769785906566,-286.2236287934329,2227.582249319343,-286.143757903659,-227.62229895649818
-352.31495767273003,2029.214791480741,-355.7697686031788,-47.455989360311804,-365.03556320686306,-0.0010273936015076299,-368.6515692800885,999.9763820214313,-264.5625193135278,1766.2032129762813,-264.22760080653813,233.79512304527452
-330.47435536680644,2113.852001825651,-335.39433380598416,-79.98140950563587,-355.67523698405836,-0.0018629882608759084,-359.0059342404369,999.9775260158631,-190.83461876050598,2463.8386170153776,-190.5943991319753,-463.8559480975523
-328.7361617335339,2118.0785265688296,-330.71788630107824,-83.59793822282967,-346.3148916317111,-0.002993454367212341,-349.36009887259064,999.9769640621568,374.78698053229294,1836.6717386503628,375.0993577320094,163.552649392862
-318.2815997487728,2111.9286075739024,-321.22803340802824,-83.90909379922746,-336.36891860578544,-0.0030173688198664138,-339.7140529458583,999.9776841004362,-271.5836436391203,2088.4130081773255,-271.2767556633481,-88.4383869456193
-310.2843344101203,2096.707464047319,-315.801499707039,-78.94342046273053,-326.7162630989022,-0.004649482867098293,-330.06811148082255,999.97771638451,-292.202736007825,2047.4553071807677,-291.8215966996431,-47.486027134632764
-327.7241163651272,2123.5672670307604,-325.6953126189504,-84.38702016136777,-317.06330922310076,-0.0037674840527658965,-320.4212321452925,999.9785468469221,-1250.334741132924,1375.9343606217185,-1250.2097364397814,623.7136861562428
-368.1362190713623,2038.2141742663623,-347.1776736598329,-48.25823785850816,-307.118941968955,-0.005169538036353271,-310.77527488239843,999.9790925221077,-474.864550228094,1860.373908482188,-474.5114119835662,139.51700328072616
-397.08753000990293,2103.8424916818212,-368.3830525007217,-91.13663830784743,-297.4670262392737,-0.0037681079632624365,-300.83664185203065,999.9805785993088,-463.84228449229107,2288.903436040247,-463.39551087476696,-288.9987020985335
-350.3481762596852,2128.9260107047803,-350.3245930363775,-107.37559089423027,-287.8154359676839,-0.0039962457391669514,-291.4836747706119,999.9815435792575,-204.27952804033993,2209.7899328047997,-203.7706651036333,-209.79005874186487
-350.52220506919036,2131.201106905438,-352.6559788636456,-107.74775255910339,-278.16397932426116,-0.0031706068148198365,-281.54607234312846,999.9837386247067,-1090.197458836601,2137.0289103991386,-1089.7263703927533,-137.39631807480384
-336.4104499281821,2123.478662409713,-345.5496400241916,-106.49426082316386,-268.5124636090346,-0.0019151211108111169,-271.9009253658254,999.985577957823,-301.3371631266626,2089.6412082543625,-300.9805781131339,-89.67962683058238
-333.8235524950502,2027.3102727103799,-344.7804086085792,-23.401332714352076,-258.8612948101083,-0.002107426964838814,-262.2560733923513,999.9878091620336,-343.15181243760344,1754.782956312857,-342.7484838108618,245.14954395343352
-267.28945592561985,2131.099378272404,-326.9014761006698,-109.10019424060044,-249.21011515075583,0.0002995115736374337,-252.61101156117846,999.9907470164254,-101.66720817472378,2593.785356050291,-101.43012095388866,-593.7813903612386
-232.10613870720167,2076.2041258564454,-281.41702653647457,-78.475087679836,-239.5588247529909,-0.00016778306447381557,-242.96666074739304,999.9922743503087,-120.57786908319245,1795.028251339933,-120.09836287584271,205.03026116287492
-227.67842722278596,2074.859336330062,-273.9118071117833,-78.40143796416803,-229.90754348250303,0.0022439612024751335,-233.32228526009396,999.9961005802114,607.7424622732369,1688.7468594067104,607.7474191560063,311.25139487221304
